,close
01-10-25,13700.0
01-10-26,15300.0
01-10-29,17100.0
01-10-30,17100.0
01-10-31,16650.0
01-11-01,16150.0
01-11-02,15350.0
01-11-05,16100.0
01-11-06,15750.0
01-11-07,16000.0
01-11-08,15850.0
01-11-09,15500.0
01-11-12,15300.0
01-11-13,15000.0
01-11-14,15000.0
01-11-15,15350.0
01-11-16,15200.0
01-11-19,15100.0
01-11-20,15000.0
01-11-21,14350.0
01-11-22,14000.0
01-11-23,14250.0
01-11-26,14100.0
01-11-27,13450.0
01-11-28,12500.0
01-11-29,13200.0
01-11-30,13300.0
01-12-03,14500.0
01-12-04,14600.0
01-12-05,14200.0
01-12-06,14150.0
01-12-07,14000.0
01-12-10,13700.0
01-12-11,13500.0
01-12-12,13700.0
01-12-13,13500.0
01-12-14,13350.0
01-12-17,13050.0
01-12-18,12600.0
01-12-19,12300.0
01-12-20,12400.0
01-12-21,12450.0
01-12-24,13200.0
01-12-26,13300.0
01-12-27,12950.0
01-12-28,13250.0
02-01-02,14000.0
02-01-03,14350.0
02-01-04,14450.0
02-01-07,14550.0
02-01-08,15050.0
02-01-09,15100.0
02-01-10,15850.0
02-01-11,16000.0
02-01-14,16100.0
02-01-15,15350.0
02-01-16,15000.0
02-01-17,15000.0
02-01-18,14600.0
02-01-21,15650.0
02-01-22,15850.0
02-01-23,16400.0
02-01-24,16250.0
02-01-25,18200.0
02-01-28,18600.0
02-01-29,18900.0
02-01-30,17400.0
02-01-31,18000.0
02-02-01,17750.0
02-02-04,17150.0
02-02-05,17250.0
02-02-06,18800.0
02-02-07,18050.0
02-02-08,18450.0
02-02-14,19000.0
02-02-15,18500.0
02-02-18,18000.0
02-02-19,17950.0
02-02-20,18550.0
02-02-21,18400.0
02-02-22,18150.0
02-02-25,18600.0
02-02-26,18150.0
02-02-27,17900.0
02-02-28,18100.0
02-03-04,18850.0
02-03-05,18850.0
02-03-06,18750.0
02-03-07,18800.0
02-03-08,18900.0
02-03-11,19950.0
02-03-12,20100.0
02-03-13,20300.0
02-03-14,20950.0
02-03-15,21600.0
02-03-18,21500.0
02-03-19,21500.0
02-03-20,20650.0
02-03-21,20650.0
02-03-22,20900.0
02-03-25,21200.0
02-03-26,21100.0
02-03-27,20400.0
02-03-28,20350.0
02-03-29,20900.0
02-04-01,18550.0
02-04-02,18700.0
02-04-03,19000.0
02-04-04,19000.0
02-04-08,18700.0
02-04-09,18450.0
02-04-10,17750.0
02-04-11,17800.0
02-04-12,18450.0
02-04-15,19050.0
02-04-16,19000.0
02-04-17,18950.0
02-04-18,19350.0
02-04-19,18900.0
02-04-22,18150.0
02-04-23,17700.0
02-04-24,17750.0
02-04-25,16900.0
02-04-26,17050.0
02-04-29,16200.0
02-04-30,15050.0
02-05-02,16100.0
02-05-03,17000.0
02-05-06,17000.0
02-05-07,17200.0
02-05-08,18150.0
02-05-09,18900.0
02-05-10,18600.0
02-05-13,18050.0
02-05-14,17600.0
02-05-15,18600.0
02-05-16,19000.0
02-05-17,18950.0
02-05-20,18700.0
02-05-21,17950.0
02-05-22,18200.0
02-05-23,18100.0
02-05-24,18100.0
02-05-27,17950.0
02-05-28,17650.0
02-05-29,17050.0
02-05-30,16100.0
02-05-31,16050.0
02-06-03,16800.0
02-06-04,16500.0
02-06-05,16500.0
02-06-07,16600.0
02-06-10,16900.0
02-06-11,17450.0
02-06-12,17800.0
02-06-14,17550.0
02-06-17,16900.0
02-06-18,16900.0
02-06-19,16200.0
02-06-20,16300.0
02-06-21,16300.0
02-06-24,16250.0
02-06-25,16100.0
02-06-26,15200.0
02-06-27,15450.0
02-06-28,16050.0
02-07-02,16200.0
02-07-03,16150.0
02-07-04,16400.0
02-07-05,16800.0
02-07-08,16800.0
02-07-09,17100.0
02-07-10,17100.0
02-07-11,16700.0
02-07-12,16750.0
02-07-15,16400.0
02-07-16,16350.0
02-07-18,16300.0
02-07-19,15950.0
02-07-22,15600.0
02-07-23,16000.0
02-07-24,15500.0
02-07-25,15500.0
02-07-26,15200.0
02-07-29,15400.0
02-07-30,15800.0
02-07-31,15800.0
02-08-01,15700.0
02-08-02,15300.0
02-08-05,14700.0
02-08-06,14200.0
02-08-07,14550.0
02-08-08,14250.0
02-08-09,14250.0
02-08-12,14500.0
02-08-13,14350.0
02-08-14,13850.0
02-08-16,13750.0
02-08-19,14550.0
02-08-20,14650.0
02-08-21,14500.0
02-08-22,14750.0
02-08-23,15350.0
02-08-26,15200.0
02-08-27,15050.0
02-08-28,14800.0
02-08-29,14500.0
02-08-30,14600.0
02-09-02,14500.0
02-09-03,14100.0
02-09-04,14000.0
02-09-05,13800.0
02-09-06,13300.0
02-09-09,12400.0
02-09-10,13050.0
02-09-11,13150.0
02-09-12,13450.0
02-09-13,13100.0
02-09-16,13100.0
02-09-17,13800.0
02-09-18,13850.0
02-09-19,13650.0
02-09-23,13250.0
02-09-24,13200.0
02-09-25,12800.0
02-09-26,12950.0
02-09-27,13150.0
02-09-30,12700.0
02-10-01,12800.0
02-10-02,12650.0
02-10-04,12300.0
02-10-07,11600.0
02-10-08,11100.0
02-10-09,10200.0
02-10-10,9000.0
02-10-11,8850.0
02-10-14,9700.0
02-10-15,10850.0
02-10-16,11100.0
02-10-17,11650.0
02-10-18,11950.0
02-10-21,11200.0
02-10-22,10800.0
02-10-23,11350.0
02-10-24,11100.0
02-10-25,11050.0
02-10-28,11400.0
02-10-29,11350.0
02-10-30,11200.0
02-10-31,11200.0
02-11-01,11200.0
02-11-04,11750.0
02-11-05,11300.0
02-11-06,11750.0
02-11-07,11850.0
02-11-08,11700.0
02-11-11,11350.0
02-11-12,11800.0
02-11-13,11850.0
02-11-14,11650.0
02-11-15,11600.0
